work_local,position_link,position_type,position_name,publish_times,position_number
北京,position_detail.php?id=39050&keywords=&tid=0&lid=0,产品/项目类,23486-自选股社区产品经理（北京）,2018-04-16,1
深圳,position_detail.php?id=39038&keywords=&tid=0&lid=0,技术类,WXG08-111 微信搜索数据分析工程师（深圳）,2018-04-16,1
深圳,position_detail.php?id=39040&keywords=&tid=0&lid=0,市场类,18434-品牌策划经理 (深圳),2018-04-16,1
深圳,position_detail.php?id=39046&keywords=&tid=0&lid=0,产品/项目类,22989-腾讯云加速项目经理（深圳）,2018-04-16,1
深圳,position_detail.php?id=39048&keywords=&tid=0&lid=0,市场类,14914-品牌营销经理（深圳）,2018-04-16,2
广州,position_detail.php?id=39036&keywords=&tid=0&lid=0,技术类,WXG10-117 企业微信Android客户端开发工程师（广州）,2018-04-16,1
北京,position_detail.php?id=39039&keywords=&tid=0&lid=0,设计类,MIG03-地图图面设计师,2018-04-16,1
深圳,position_detail.php?id=39041&keywords=&tid=0&lid=0,设计类,18434-品牌创意组长 (深圳),2018-04-16,1
深圳,position_detail.php?id=39042&keywords=&tid=0&lid=0,技术类,19116-数据分析高级工程师（深圳）,2018-04-16,2
深圳,position_detail.php?id=39029&keywords=&tid=0&lid=0,技术类,18425-腾讯金融AI应用-高级后台开发工程师,2018-04-16,1
